shot_distance,shot_angle,under_pressure,shot_first_time,minute,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley
20.59757267252624,21.49782674347684,0,0,69,1,0,0,0,0,0,1,0,0
12.856126943990557,34.44853608348493,0,0,20,0,0,0,0,0,0,1,0,0
10.066280345788108,42.57635856989575,0,1,44,0,0,1,0,1,0,0,0,0
22.9804264538324,5.620851561941183,0,0,31,1,0,0,0,0,0,1,0,0
17.232527382830412,24.493102353190707,1,0,78,1,0,0,0,0,0,1,0,0
19.116746585127917,23.61776545992786,0,0,19,1,0,0,0,0,0,1,0,0
31.287857069476647,12.098048756757835,1,0,72,0,0,1,0,1,0,0,0,0
31.12715855968867,11.438224797193463,0,1,88,1,0,0,0,0,0,0,0,1
10.0,29.7448823333311,1,0,70,0,0,0,0,0,0,1,0,0
11.511733144926533,38.050224976370345,1,0,76,0,0,0,0,0,0,1,0,0
11.107204868912785,39.59233636526936,1,0,25,0,0,0,0,0,0,1,0,0
21.213203435596427,21.161260134877168,0,1,56,0,0,1,0,0,0,0,0,1
29.00431002454636,15.030760564428876,0,0,89,0,0,1,0,0,0,1,0,0
14.851935900750444,21.938414175867265,0,0,73,1,0,0,0,0,0,1,0,0
20.223253941935265,20.840876284855383,0,1,23,1,0,0,0,0,0,1,0,0
24.45730974575904,11.948960214357076,0,0,86,0,0,1,0,0,0,1,0,0
7.409453421137078,52.33812889262708,1,0,42,0,0,0,0,0,0,1,0,0
12.355565547557914,24.818728891458832,0,0,56,0,0,1,0,0,0,1,0,0
58.01939330947886,6.20078410380478,0,0,20,0,0,1,0,0,0,1,0,0
5.323532661682464,73.7730112119595,0,0,75,0,0,0,0,0,0,1,0,0
18.17965896269785,23.262323668146067,0,0,52,0,0,1,0,0,0,1,0,0
18.000555546982437,24.933946623493384,1,0,8,1,0,0,0,0,0,1,0,0
16.72423391369542,22.864730853373512,0,0,91,1,0,0,0,0,0,1,0,0
12.728707711311472,25.994068925831545,0,1,73,0,0,1,0,0,0,0,0,1
7.340980860893184,32.350683175641954,0,1,27,0,0,1,0,0,0,0,0,1
17.681911661356075,16.94787832982331,0,1,88,0,0,1,0,1,0,0,0,0
22.40557966221807,18.2221310748538,0,0,36,0,0,1,0,0,0,1,0,0
19.4164878389476,22.83365452532424,0,1,43,1,0,0,0,0,0,1,0,0
6.859300255857009,51.61754357344423,0,0,82,0,0,0,0,0,0,1,0,0
5.021951811795882,74.29945683982847,0,1,41,0,0,1,0,1,0,0,0,0
7.860025445251433,47.75008593927187,0,1,71,1,0,0,0,0,0,1,0,0
39.28409347305853,10.968713251360825,0,0,6,0,0,1,0,0,0,1,0,0
14.111342955225773,21.895209491063703,0,0,81,1,0,0,0,0,0,1,0,0
23.25618197383225,17.670173630620617,0,0,49,0,0,1,0,0,0,1,0,0
21.96474447836806,18.40362087387891,0,1,25,0,0,1,0,1,0,0,0,0
6.5604877867426925,56.97613319481708,1,0,20,0,0,0,0,0,0,1,0,0
26.094635464018275,12.351139404403536,0,0,55,0,0,1,0,0,0,1,0,0
30.45472048796377,13.901719729615566,0,0,29,0,0,1,0,0,0,1,0,0
5.594640292279739,69.44395527350217,0,1,67,0,0,1,0,0,0,1,0,0
29.807717121577767,14.841460300474138,1,0,46,1,0,0,0,0,0,1,0,0
22.51443981093023,15.22449920899728,0,0,68,0,0,1,0,0,0,1,0,0
34.62369131100842,13.02433105175341,0,0,30,1,0,0,0,0,0,1,0,0
8.286132994346637,20.796524948532504,0,0,10,0,0,1,0,0,0,1,0,0
24.382165613415065,15.827858006099817,0,1,70,0,0,1,0,0,0,1,0,0
12.800390619039725,25.71403245579075,0,0,35,1,0,0,0,0,0,1,0,0
55.61600489067873,7.655275357249533,0,0,16,1,0,0,0,0,0,1,0,0
3.744329045369807,94.56473847153607,0,1,34,0,0,1,0,1,0,0,0,0
14.068404316055174,30.88217081591528,1,0,13,0,0,0,0,0,0,1,0,0
7.409453421137078,52.33812889262708,0,0,4,0,0,0,0,0,0,1,0,0
29.808891291022544,13.457432126874226,0,0,78,0,0,1,0,0,0,1,0,0
16.36001222493431,17.304100316956152,0,0,42,1,0,0,0,0,0,1,0,0
14.996666296213968,21.5266123385073,1,0,91,0,0,1,0,0,0,1,0,0
