id,match_id,competition,season_id,minute,player,team,shot_outcome,shot_type,shot_body_part,shot_technique,shot_statsbomb_xg,under_pressure,shot_first_time,x,y,gol,shot_distance,shot_angle
c82cd57f-cb28-4d27-ac48-1efc40bde95a,266201,La Liga,25,33,Pedro Eliezer Rodríguez Ledesma,Barcelona,Off T,Open Play,Head,Normal,0.06638658,0,0,103.4,38.9,0,16.63640586184407,26.987971739210856
602f6f39-5e97-4c2a-b432-38f2650e4d50,266201,La Liga,25,37,Lionel Andrés Messi Cuccittini,Barcelona,Saved,Free Kick,Left Foot,Normal,0.0075765387,0,0,105.0,70.1,0,33.6304921165302,6.142663957104195
a9d9b264-8980-4b49-93b9-45649764e20a,266201,La Liga,25,41,Alexis Alejandro Sánchez Sánchez,Barcelona,Saved,Open Play,Right Foot,Normal,0.022429105,0,0,92.6,52.9,0,30.284814676665935,13.671096478022532
ad8ff4a0-1fe9-4c66-8886-d4a68284594a,266201,La Liga,25,44,Pedro Eliezer Rodríguez Ledesma,Barcelona,Off T,Open Play,Right Foot,Normal,0.040611926,0,0,100.7,29.6,0,21.92373143422442,18.381292795053277
ab516323-01c8-492a-b8bf-17781d87d255,266201,La Liga,25,46,Lionel Andrés Messi Cuccittini,Barcelona,Saved,Open Play,Left Foot,Normal,0.17638569,1,0,113.0,45.9,0,9.154780172128655,39.55115179709924
5acda3cb-e864-4a1c-952d-18d90701da3a,266201,La Liga,25,57,Carles Gil de Pareja Vicent,Elche,Off T,Open Play,Left Foot,Normal,0.040434938,1,0,94.8,42.3,0,25.304742638485777,17.89558781227457
7054af0f-1467-4b9c-bdc7-797186c7f03e,266201,La Liga,25,57,Lionel Andrés Messi Cuccittini,Barcelona,Off T,Open Play,Head,Normal,0.077574976,0,0,103.8,47.0,0,17.647662734764626,23.68551216631796
759d7e6b-3c88-4aee-9194-2752cd56bd5a,266201,La Liga,25,59,Lionel Andrés Messi Cuccittini,Barcelona,Blocked,Open Play,Left Foot,Normal,0.032622773,0,0,95.0,49.0,0,26.570660511172846,16.164499427410263
b7428565-712b-412a-8cb2-cecc65bd5d72,266201,La Liga,25,59,Garry Mendes Rodrigues,Elche,Off T,Open Play,Right Foot,Normal,0.009765143,1,0,99.9,19.6,0,28.63861030147936,11.307603531750626
8f8224bc-2c44-4f9e-86df-c1ed996395c8,266201,La Liga,25,62,Lionel Andrés Messi Cuccittini,Barcelona,Blocked,Open Play,Head,Normal,0.10603739,0,0,111.1,39.1,0,8.945389874119524,48.039474891291064
8851a5fe-9a48-48ba-844c-f986e9ca8d23,266201,La Liga,25,76,Francesc Fàbregas i Soler,Barcelona,Blocked,Open Play,Right Foot,Normal,0.043990284,1,0,104.2,53.0,0,20.4606940253746,17.428537790156852
56cc3f31-caa2-4ae3-b77d-c8c663711ae5,266201,La Liga,25,76,Alexis Alejandro Sánchez Sánchez,Barcelona,Wayward,Open Play,Head,Normal,0.14143305,0,0,109.7,44.3,0,11.161541112229974,37.19440715634257
35114ff0-d4a3-47fa-abb0-ddc9374b8cbd,266201,La Liga,25,76,Cristian Tello Herrera,Barcelona,Blocked,Open Play,Right Foot,Normal,0.019884245,1,0,96.1,28.6,0,26.479614800823676,15.592017375423046
